"","year","title","date","link"
"54",2024,"Governor Abbott Announces Over $713,000 In Career Training Grants To Three Central Texas Schools","Feb 26","https://gov.texas.gov/news/post/governor-abbott-announces-over-713000-in-career-training-grants-to-three-central-texas-schools"
"55",2024,"Texas Upholds Constitutional Right To Defend Itself From Invasion","Feb 23","https://gov.texas.gov/news/post/texas-upholds-constitutional-right-defend-itself-from-invasion"
"56",2024,"Governor Abbott Appoints Four To Artificial Intelligence Advisory Council","Feb 23","https://gov.texas.gov/news/post/governor-abbott-appoints-four-to-artificial-intelligence-advisory-council"
"57",2024,"Governor Abbott Reappoints Mitchell, Names Chair Of Sulphur River Basin Authority Board Of Directors","Feb 23","https://gov.texas.gov/news/post/governor-abbott-reappoints-mitchell-names-chair-of-sulphur-river-basin-authority-board-of-directors"
"58",2024,"Governor Abbott Announces Sugar Land Music Friendly Texas Community Workshop","Feb 22","https://gov.texas.gov/news/post/governor-abbott-announces-sugar-land-music-friendly-texas-community-workshop"
"59",2024,"Governor Abbott Announces Over $193,000 Job Training Grant To Northeast Texas Community College","Feb 22","https://gov.texas.gov/news/post/governor-abbott-announces-over-193000-job-training-grant-to-northeast-texas-community-college"
"60",2024,"Governor Abbott Names Ladner Chair, Appoints Houston To Risk Management Board","Feb 22","https://gov.texas.gov/news/post/governor-abbott-names-ladner-chair-appoints-houston-to-risk-management-board"
"61",2024,"Governor Abbott Reappoints Halbrooks As Presiding Officer Of North East Texas Regional Mobility Authority","Feb 22","https://gov.texas.gov/news/post/governor-abbott-reappoints-halbrooks-as-presiding-officer-of-north-east-texas-regional-mobility-authority"
"62",2024,"Governor Abbott Announces Launch Of Texas Jobs, Energy, Technology, And Innovation Program","Feb 22","https://gov.texas.gov/news/post/governor-abbott-announces-launch-of-texas-jobs-energy-technology-and-innovation-program"
"63",2024,"Governor Abbott Appoints Gray To 489th District Court","Feb 21","https://gov.texas.gov/news/post/governor-abbott-appoints-gray-to-489th-district-court"
"64",2024,"Governor Abbott Launches New Digital Media Friendly Texas Program","Feb 21","https://gov.texas.gov/news/post/governor-abbott-launches-new-digital-media-friendly-texas-program"
"65",2024,"Governor Abbott Announces Galveston Designated Music Friendly Texas Certified Community","Feb 20","https://gov.texas.gov/news/post/governor-abbott-announces-galveston-designated-music-friendly-texas-certified-community"
"66",2024,"Governor Abbott Reappoints Brown As Presiding Officer Of Webb County - City Of Laredo Regional Mobility Authority","Feb 20","https://gov.texas.gov/news/post/governor-abbott-reappoints-brown-as-presiding-officer-of-webb-county-city-of-laredo-regional-mobility-authority"
"67",2024,"Operation Lone Star Boosts Support For Deployed Texas National Guard Soldiers","Feb 16","https://gov.texas.gov/news/post/operation-lone-star-boosts-support-for-deployed-texas-national-guard-soldiers"
"68",2024,"Governor Abbott Expands Border Security Operations In Eagle Pass","Feb 16","https://gov.texas.gov/news/post/governor-abbott-expands-border-security-operations-in-eagle-pass"
"69",2024,"Governor Abbotts Appoints Four To Texas Food System Security And Resiliency Planning Council","Feb 16","https://gov.texas.gov/news/post/governor-abbotts-appoints-four-to-texas-food-system-security-and-resiliency-planning-council"
"70",2024,"Governor Abbott Appoints Barnard To 73rd District Court","Feb 16","https://gov.texas.gov/news/post/governor-abbott-appoints-barnard-to-73rd-district-court"
"71",2024,"First Lady Abbott, OneStar Foundation Announce 40th Annual Governor’s Volunteer Awards Recipients","Feb 14","https://gov.texas.gov/news/post/first-lady-abbott-onestar-foundation-announce-40th-annual-governors-volunteer-awards-recipients"
"72",2024,"Governor Abbott Appoints Killinger To Texas Economic Development Corporation Board Of Directors","Feb 12","https://gov.texas.gov/news/post/governor-abbott-appoints-killinger-to-texas-economic-development-corporation-board-of-directors"
"73",2024,"Governor Abbott Statement On Shooting In Angleton","Feb 12","https://gov.texas.gov/news/post/governor-abbott-statement-on-shooting-in-angleton"
"74",2024,"Governor Abbott Issues Statement On Lakewood Church Shooting","Feb 11","https://gov.texas.gov/news/post/governor-abbott-issues-statement-on-lakewood-church-shooting"
"75",2024,"Governor Abbott Activates State Emergency Response Resources Ahead Of Severe Weather Threats","Feb 9","https://gov.texas.gov/news/post/governor-abbott-activates-state-emergency-response-resources-ahead-of-severe-weather-threats"
"76",2024,"America’s Governors Band Together To Support Operation Lone Star","Feb 9","https://gov.texas.gov/news/post/americas-governors-band-together-to-support-operation-lone-star"
"77",2024,"Governor Abbott Champions Texas Energy At NAPE Summit In Houston","Feb 8","https://gov.texas.gov/news/post/governor-abbott-champions-texas-energy-at-nape-summit-in-houston"
"78",2024,"Governor Abbott Appoints Gonzales To The Texas Commission On Environmental Quality","Feb 8","https://gov.texas.gov/news/post/governor-abbott-appoints-gonzales-to-the-texas-commission-on-environmental-quality"
"79",2024,"Governor Abbott Announces Mont Belvieu Designated Music Friendly Texas Certified Community","Feb 7","https://gov.texas.gov/news/post/governor-abbott-announces-mont-belvieu-designated-music-friendly-texas-certified-community"
"80",2024,"Governor Abbott Appoints Thompson As District Attorney Of 159th Judicial District","Feb 6","https://gov.texas.gov/news/post/governor-abbott-appoints-thompson-as-district-attorney-of-159th-judicial-district"
"81",2024,"America’s Governors Stand With Texas To Secure The Border","Feb 4","https://gov.texas.gov/news/post/americas-governors-stand-with-texas-to-secure-the-border"
"82",2024,"Texas Celebrates One Year Of Texas Border Czar’s Leadership","Feb 2","https://gov.texas.gov/news/post/texas-celebrates-one-year-of-texas-border-czars-leadership"
"83",2024,"Governor Abbott Activates State Emergency Response Resources Ahead Of Severe Weather Threat","Feb 2","https://gov.texas.gov/news/post/governor-abbott-activates-state-emergency-response-resources-ahead-of-severe-weather-threat"
"84",2024,"Governor Abbott Proclaims February 2024 As Black History Month In Texas","Feb 1","https://gov.texas.gov/news/post/governor-abbott-proclaims-february-2024-as-black-history-month-in-texas"
"85",2023,"Governor Abbott Touts Educational Freedom At Parent Empowerment Night In Corpus Christi","Jan 31","https://gov.texas.gov/news/post/governor-abbott-touts-educational-freedom-at-parent-empowerment-night-in-corpus-christi"
"86",2023,"Governor Abbott Provides Update On Texas’ Severe Weather Response","Jan 31","https://gov.texas.gov/news/post/governor-abbott-provides-update-on-texas-severe-weather-response"
"87",2023,"Governor Abbott Renews Drought Disaster Declaration In January 2023","Jan 31","https://gov.texas.gov/news/post/governor-abbott-renews-drought-disaster-declaration-in-january-2023"
"88",2023,"Governor Abbott Readies State Operations Center For Winter Weather","Jan 30","https://gov.texas.gov/news/post/governor-abbott-readies-state-operations-center-for-winter-weather"
"89",2023,"Governor Abbott Announces New Texas Border Czar","Jan 30","https://gov.texas.gov/news/post/governor-abbott-announces-new-texas-border-czar"
"90",2023,"Governor Abbott Renews Severe Weather Disaster Declaration In January 2023","Jan 30","https://gov.texas.gov/news/post/governor-abbott-renews-severe-weather-disaster-declaration-in-january-2023"
"91",2023,"Governor Abbott Proclaims Texas Military Heroes Week","Jan 28","https://gov.texas.gov/news/post/governor-abbott-proclaims-texas-military-heroes-week"
"92",2023,"Governor Abbott Champions Protecting Unborn At Texas Rally For Life","Jan 28","https://gov.texas.gov/news/post/governor-abbott-champions-protecting-unborn-at-texas-rally-for-life"
"93",2023,"Governor Abbott Appoints Six To Humanities Texas","Jan 27","https://gov.texas.gov/news/post/governor-abbott-appoints-six-to-humanities-texas"
"94",2023,"Operation Lone Star Deploys Hi-Tech Assets To Stop Illegal Crossings","Jan 27","https://gov.texas.gov/news/post/operation-lone-star-deploys-hi-tech-assets-to-stop-illegal-crossings"
"95",2023,"First Lady Abbott Relaunches Human Trafficking Awareness Campaign","Jan 26","https://gov.texas.gov/news/post/first-lady-abbott-relaunches-human-trafficking-awareness-campaign"
"96",2023,"Governor Abbott Issues Disaster Declaration For Southeast Texas","Jan 26","https://gov.texas.gov/news/post/governor-abbott-issues-disaster-declaration-for-southeast-texas"
"97",2023,"Governor Abbott Issues Severe Weather Disaster Declaration In January 2023","Jan 26","https://gov.texas.gov/news/post/governor-abbott-issues-severe-weather-disaster-declaration-in-january-2023"
"98",2023,"Governor Abbott Signs Historic Infrastructure Agreement With U.S. Military","Jan 25","https://gov.texas.gov/news/post/governor-abbott-signs-historic-infrastructure-agreement-with-u.s-military"
"99",2023,"Governor Abbott Appoints Three To State Independent Living Council","Jan 25","https://gov.texas.gov/news/post/governor-abbott-appoints-three-to-state-independent-living-council--"
"100",2023,"Governor Abbott Urges Texans Impacted By Storms To Report Damage","Jan 25","https://gov.texas.gov/news/post/governor-abbott-urges-texans-impacted-by-storms-to-report-damage"
"101",2023,"Governor Abbott Celebrates Boeing, Port San Antonio Educational Partnership","Jan 24","https://gov.texas.gov/news/post/governor-abbott-celebrates-boeing-port-san-antonio-educational-partnership"
"102",2023,"Governor Abbott Reappoints Scott To Veterans’ Land Board","Jan 24","https://gov.texas.gov/news/post/governor-abbott-reappoints-scott-to-veterans-land-board"
"103",2023,"Governor Abbott Announces Statewide 2023 Governor’s Small Business Summit","Jan 24","https://gov.texas.gov/news/post/governor-abbott-announces-statewide-2023-governors-small-business-summit"
"104",2023,"Texas Leads The Nation For Job Creation","Jan 24","https://gov.texas.gov/news/post/texas-leads-the-nation-for-job-creation"
"105",2023,"Governor Abbott Touts Expanding Rural Healthcare At UT Tyler Medical School Groundbreaking","Jan 23","https://gov.texas.gov/news/post/governor-abbott-touts-expanding-rural-healthcare-at-ut-tyler-medical-school-groundbreaking"
"106",2023,"Governor Abbott Prepares State Emergency Response Resources Ahead Of Severe Weather Threats","Jan 23","https://gov.texas.gov/news/post/governor-abbott-prepares-state-emergency-response-resources-ahead-of-severe-weather-threats"
"107",2023,"Governor Abbott Reappoints Phillips To Judicial Districts Board","Jan 23","https://gov.texas.gov/news/post/governor-abbott-reappoints-phillips-to-judicial-districts-board"
"108",2023,"Governor Abbott Announces New Category For Texas Travel Industry Recovery Grant Program","Jan 23","https://gov.texas.gov/news/post/governor-abbott-announces-new-category-for-texas-travel-industry-recovery-grant-program"
"109",2023,"Governor Abbott Promises Long-Standing Support For Israel At IAC Summit","Jan 20","https://gov.texas.gov/news/post/governor-abbott-promises-long-standing-support-for-israel-at-iac-summit"
"110",2023,"Governor Abbott Renews Border Disaster Declaration In January 2023","Jan 20","https://gov.texas.gov/news/post/governor-abbott-renews-border-disaster-declaration-in-january-2023"
"111",2023,"First Lady Abbott Highlights Anti-Human Trafficking Efforts Across Texas","Jan 20","https://gov.texas.gov/news/post/first-lady-abbott-highlights-anti-human-trafficking-efforts-across-texas"
"112",2023,"Operation Lone Star Disrupts Cartel Activity Along Biden’s Open Border","Jan 20","https://gov.texas.gov/news/post/operation-lone-star-disrupts-cartel-activity-along-bidens-open-border"
"113",2023,"Texas Hits New Historic High For Total Jobs 14 Months In A Row","Jan 20","https://gov.texas.gov/news/post/texas-hits-new-historic-high-for-total-jobs-14-months-in-a-row"
"114",2023,"Governor Abbott, HHSC Unveil New ‘Stop Human Trafficking’ Specialty License Plate","Jan 19","https://gov.texas.gov/news/post/governor-abbott-hhsc-unveil-new-stop-human-trafficking-specialty-license-plate"
"115",2023,"Governor Abbott Delivers 2023 Texas Inaugural Address","Jan 17","https://gov.texas.gov/news/post/governor-abbott-delivers-2023-texas-inaugural-address-"
"116",2023,"Governor Abbott Renews COVID-19 Disaster Declaration In January 2023","Jan 15","https://gov.texas.gov/news/post/governor-abbott-renews-covid-19-disaster-declaration-in-january-2023"
"117",2023,"Governor Abbott Appoints King To Nursing Facility Administrators Advisory Committee","Jan 13","https://gov.texas.gov/news/post/governor-abbott-appoints-king-to-nursing-facility-administrators-advisory-committee"
"118",2023,"Operation Lone Star Expands In West Texas As Pres. Biden Ignores Crisis","Jan 13","https://gov.texas.gov/news/post/operation-lone-star-expands-in-west-texas-as-pres-biden-ignores-crisis"
"119",2023,"Governor Abbott Renews Wildfire Disaster Proclamation In January 2023","Jan 12","https://gov.texas.gov/news/post/governor-abbott-renews-wildfire-disaster-proclamation-in-january-2023"
"120",2023,"Governor Abbott Announces New CertainTeed Manufacturing And Distribution Facility In Bryan","Jan 12","https://gov.texas.gov/news/post/governor-abbott-announces-new-certainteed-manufacturing-and-distribution-facility-in-bryan"
"121",2023,"Governor Abbott Appoints Mitzner To Texas Holocaust, Genocide, And Antisemitism Advisory Commission","Jan 11","https://gov.texas.gov/news/post/governor-abbott-appoints-mitzner-to-texas-holocaust-genocide-and-antisemitism-advisory-commission"
"122",2023,"Governor Abbott Supports New ERCOT Reliability Standard, Market Design","Jan 10","https://gov.texas.gov/news/post/governor-abbott-supports-new-ercot-reliability-standard-market-design"
"123",2023,"Governor Abbott Appoints Cannata As Director Of The Office Of Community-Based Care Transition","Jan 9","https://gov.texas.gov/news/post/governor-abbott-appoints-cannata-as-director-of-the-office-of-community-based-care-transition"
"124",2023,"Governor Abbott Appoints Allred And Williams, Reappoints Elliott To Teacher Retirement System of Texas Board Of Trustees","Jan 9","https://gov.texas.gov/news/post/governor-abbott-appoints-allred-and-williams-reappoints-elliott-to-teacher-retirement-system-of-texas-board-of-trustees"
"125",2023,"Governor Abbott Reappoints Tayon To Department Of Information Resources","Jan 9","https://gov.texas.gov/news/post/governor-abbott-reappoints-tayon-to-department-of-information-resources"
"126",2023,"Governor Abbott Appoints Starr, Fox To Texas Military Preparedness Commission","Jan 9","https://gov.texas.gov/news/post/governor-abbott-appoints-starr-fox-to-texas-military-preparedness-commission"
"127",2023,"Governor Abbott Appoints Trevino To Texas Workforce Commission","Jan 9","https://gov.texas.gov/news/post/governor-abbott-appoints-trevino-to-texas-workforce-commission"
"128",2023,"Governor Abbott Appoints Misso To Texas State Technical College System Board Of Regents","Jan 9","https://gov.texas.gov/news/post/governor-abbott-appoints-misso-to-texas-state-technical-college-system-board-of-regents"
"129",2023,"Governor Abbott Hand-Delivers Letter To President Biden At Border Visit","Jan 8","https://gov.texas.gov/news/post/governor-abbott-hand-delivers-letter-to-president-biden-at-border-visit"
"130",2023,"Governor Abbott Announces City Of Marshall As Music Friendly Community","Jan 6","https://gov.texas.gov/news/post/governor-abbott-announces-city-of-marshall-as-music-friendly-community"
"131",2023,"Governor Abbott Appoints Three To Nueces River Authority","Jan 6","https://gov.texas.gov/news/post/governor-abbott-appoints-three-to-nueces-river-authority"
"132",2023,"Governor Abbott Statement On Texas Stopping President Biden’s Attacks On Permian Basin","Jan 6","https://gov.texas.gov/news/post/governor-abbott-statement-on-texas-stopping-president-bidens-attacks-on-permian-basin"
"133",2023,"Governor Abbott Names Beauchamp Chair, Appoints Lane To Commission On State Emergency Communications","Jan 6","https://gov.texas.gov/news/post/governor-abbott-names-beauchamp-chair-appoints-lane-to-commission-on-state-emergency-communications"
"134",2023,"Operation Lone Star Continues Unprecedented Border Mission Into 2023","Jan 6","https://gov.texas.gov/news/post/operation-lone-star-continues-unprecedented-border-mission-into-2023"
"135",2023,"Governor Abbott Reappoints Lilly To Texas Alcoholic Beverage Commission","Jan 6","https://gov.texas.gov/news/post/governor-abbott-reappoints-lilly-to-texas-alcoholic-beverage-commission"
"136",2023,"Governor Abbott Appoints Allen To Criminal District Court No. 3 – Tarrant County","Jan 5","https://gov.texas.gov/news/post/governor-abbott-appoints-allen-to-criminal-district-court-no-3-tarrant-county"
"137",2023,"Governor Abbott Appoints Tate To Trinity River Authority Board Of Directors","Jan 5","https://gov.texas.gov/news/post/governor-abbott-appoints-tate-to-trinity-river-authority-board-of-directors"
"138",2023,"Governor Abbott, HHSC Announce Extension Of Emergency SNAP Benefits For January 2023","Jan 5","https://gov.texas.gov/news/post/governor-abbott-hhsc-announce-extension-of-emergency-snap-benefits-for-january-2023"
"139",2023,"Governor Abbott Appoints Senator Nelson As Texas Secretary Of State","Jan 5","https://gov.texas.gov/news/post/governor-abbott-appoints-senator-nelson-as-texas-secretary-of-state"
"140",2023,"First Lady Abbott Announces GRACE’s Third Annual Week Of Prayer To End Human Trafficking","Jan 5","https://gov.texas.gov/news/post/first-lady-abbott-announces-graces-third-annual-week-of-prayer-to-end-human-trafficking"
"141",2023,"Governor Abbott Highlights Legislative Action Needed For Ankle Monitor Violations","Jan 4","https://gov.texas.gov/news/post/governor-abbott-highlights-legislative-action-needed-for-ankle-monitor-violations"
"142",2023,"Governor Abbott Announces Music Friendly Community Workshop In Galveston","Jan 4","https://gov.texas.gov/news/post/governor-abbott-announces-music-friendly-community-workshop-in-galveston"
"143",2023,"Governor Abbott Appoints Koch To Criminal District Court No. 2 – Dallas County","Jan 4","https://gov.texas.gov/news/post/governor-abbott-appoints-koch-to-criminal-district-court-no-2-dallas-county"
"144",2023,"Governor Abbott Activates State Emergency Resources Ahead Of Storms","Jan 2","https://gov.texas.gov/news/post/governor-abbott-activates-state-emergency-resources-ahead-of-storms"
"145",2023,"Governor Abbott Appoints McMichael To OneStar Foundation","Jan 2","https://gov.texas.gov/news/post/governor-abbott-appoints-mcmichael-to-onestar-foundation"
"146",2023,"Governor Abbott Announces Music Friendly Texas Community Workshop In College Station","Feb 28","https://gov.texas.gov/news/post/governor-abbott-announces-music-friendly-texas-community-workshop-in-college-station"
"147",2023,"Governor Abbott Mobilizes State Wildfire Resources Across Texas","Feb 28","https://gov.texas.gov/news/post/governor-abbott-mobilizes-state-wildfire-resources-across-texas"
"148",2023,"Governor Abbott Advocates For Education Freedom In Corsicana","Feb 28","https://gov.texas.gov/news/post/governor-abbott-advocates-for-education-freedom-in-corsicana"
"149",2023,"Operation Lone Star Receives Legislative Boost To Secure The Border","Feb 24","https://gov.texas.gov/news/post/operation-lone-star-receives-legislative-boost-to-secure-the-border"
"150",2023,"Governor Abbott, TEA Release Teacher Vacancy Recommendations","Feb 24","https://gov.texas.gov/news/post/governor-abbott-tea-release-teacher-vacancy-recommendations"
"151",2023,"Governor Abbott, TxDOT Announce Record $100 Billion 10-Year Transportation Plan","Feb 23","https://gov.texas.gov/news/post/governor-abbott-txdot-announce-record-100-billion-10-year-transportation-plan"
